year,Rene (F),Rene (M)
1880,0.000000,0.000025
1881,0.000000,0.000026
1882,0.000000,0.000027
1883,0.000000,0.000037
1884,0.000000,0.000021
1885,0.000021,0.000021
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000023,0.000000
1889,0.000024,0.000031
1890,0.000000,0.000017
1891,0.000021,0.000021
1892,0.000018,0.000021
1893,0.000000,0.000031
1894,0.000021,0.000021
1895,0.000031,0.000017
1896,0.000022,0.000031
1897,0.000000,0.000046
1898,0.000021,0.000016
1899,0.000021,0.000029
1900,0.000024,0.000022
1901,0.000035,0.000026
1902,0.000023,0.000028
1903,0.000013,0.000039
1904,0.000015,0.000042
1905,0.000021,0.000017
1906,0.000026,0.000049
1907,0.000026,0.000041
1908,0.000018,0.000041
1909,0.000016,0.000029
1910,0.000022,0.000049
1911,0.000022,0.000061
1912,0.000020,0.000050
1913,0.000019,0.000032
1914,0.000011,0.000063
1915,0.000012,0.000057
1916,0.000014,0.000060
1917,0.000017,0.000067
1918,0.000019,0.000057
1919,0.000010,0.000056
1920,0.000015,0.000062
1921,0.000018,0.000069
1922,0.000019,0.000080
1923,0.000015,0.000083
1924,0.000016,0.000078
1925,0.000015,0.000076
1926,0.000018,0.000086
1927,0.000013,0.000092
1928,0.000019,0.000091
1929,0.000019,0.000090
1930,0.000018,0.000082
1931,0.000021,0.000077
1932,0.000017,0.000086
1933,0.000023,0.000079
1934,0.000016,0.000075
1935,0.000016,0.000079
1936,0.000017,0.000081
1937,0.000016,0.000083
1938,0.000020,0.000086
1939,0.000019,0.000093
1940,0.000010,0.000073
1941,0.000019,0.000079
1942,0.000020,0.000080
1943,0.000019,0.000084
1944,0.000028,0.000077
1945,0.000026,0.000093
1946,0.000031,0.000102
1947,0.000045,0.000099
1948,0.000047,0.000107
1949,0.000051,0.000100
1950,0.000063,0.000111
1951,0.000071,0.000101
1952,0.000086,0.000113
1953,0.000095,0.000111
1954,0.000102,0.000125
1955,0.000116,0.000131
1956,0.000149,0.000131
1957,0.000151,0.000132
1958,0.000150,0.000133
1959,0.000197,0.000158
1960,0.000219,0.000171
1961,0.000207,0.000170
1962,0.000227,0.000182
1963,0.000206,0.000181
1964,0.000168,0.000200
1965,0.000175,0.000205
1966,0.000169,0.000194
1967,0.000179,0.000225
1968,0.000199,0.000210
1969,0.000193,0.000235
1970,0.000152,0.000241
1971,0.000148,0.000220
1972,0.000145,0.000243
1973,0.000135,0.000227
1974,0.000113,0.000238
1975,0.000108,0.000228
1976,0.000091,0.000226
1977,0.000092,0.000217
1978,0.000090,0.000214
1979,0.000077,0.000217
1980,0.000077,0.000196
1981,0.000082,0.000191
1982,0.000079,0.000186
1983,0.000064,0.000234
1984,0.000060,0.000220
1985,0.000054,0.000205
1986,0.000057,0.000213
1987,0.000051,0.000196
1988,0.000045,0.000204
1989,0.000043,0.000192
1990,0.000037,0.000212
1991,0.000034,0.000214
1992,0.000035,0.000201
1993,0.000029,0.000196
1994,0.000032,0.000200
1995,0.000026,0.000191
1996,0.000025,0.000178
1997,0.000028,0.000177
1998,0.000023,0.000167
1999,0.000021,0.000165
2000,0.000024,0.000175
2001,0.000017,0.000158
2002,0.000016,0.000157
2003,0.000012,0.000148
2004,0.000011,0.000150
2005,0.000012,0.000136
2006,0.000008,0.000132
2007,0.000007,0.000127
2008,0.000009,0.000118
2009,0.000006,0.000107
2010,0.000005,0.000105
2011,0.000008,0.000099
2012,0.000004,0.000086
2013,0.000006,0.000080
2014,0.000006,0.000078
2015,0.000005,0.000075
2016,0.000005,0.000067
2017,0.000004,0.000073
2018,0.000005,0.000064
2019,0.000004,0.000067
2020,0.000006,0.000066
