year,Race
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,6
1956,6
1957,9
1958,8
1959,7
1960,0
1961,0
1962,6
1963,0
1964,0
1965,11
1966,5
1967,0
1968,6
1969,11
1970,11
1971,0
1972,8
1973,6
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,6
1981,5
1982,0
1983,5
1984,11
1985,10
1986,15
1987,21
1988,20
1989,21
1990,16
1991,21
1992,23
1993,34
1994,25
1995,36
1996,43
1997,45
1998,54
1999,55
2000,62
2001,42
2002,65
2003,53
2004,54
2005,63
2006,56
2007,54
2008,46
2009,37
2010,34
2011,40
2012,34
