year,Raylene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,7
1927,8
1928,8
1929,7
1930,13
1931,7
1932,9
1933,13
1934,5
1935,16
1936,9
1937,17
1938,22
1939,18
1940,26
1941,38
1942,20
1943,29
1944,33
1945,28
1946,39
1947,50
1948,42
1949,56
1950,52
1951,48
1952,57
1953,52
1954,50
1955,55
1956,57
1957,61
1958,61
1959,67
1960,62
1961,79
1962,72
1963,61
1964,61
1965,69
1966,59
1967,42
1968,44
1969,51
1970,45
1971,36
1972,45
1973,30
1974,49
1975,37
1976,44
1977,33
1978,31
1979,35
1980,26
1981,41
1982,39
1983,34
1984,28
1985,49
1986,31
1987,35
1988,53
1989,51
1990,35
1991,40
1992,41
1993,53
1994,52
1995,54
1996,59
1997,52
1998,57
1999,53
2000,71
2001,66
2002,69
2003,62
2004,57
2005,50
2006,61
2007,43
2008,53
2009,58
2010,53
2011,35
2012,60
