year,Rochester
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,7
1916,7
1917,10
1918,7
1919,9
1920,7
1921,6
1922,0
1923,6
1924,11
1925,7
1926,9
1927,8
1928,7
1929,7
1930,9
1931,0
1932,5
1933,0
1934,0
1935,5
1936,11
1937,9
1938,0
1939,8
1940,13
1941,14
1942,14
1943,20
1944,22
1945,10
1946,14
1947,15
1948,13
1949,13
1950,8
1951,10
1952,12
1953,8
1954,7
1955,9
1956,14
1957,20
1958,9
1959,7
1960,0
1961,10
1962,9
1963,7
1964,8
1965,10
1966,0
1967,0
1968,0
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
