year,Roselie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,5
1913,9
1914,0
1915,8
1916,8
1917,5
1918,7
1919,5
1920,13
1921,13
1922,6
1923,10
1924,8
1925,12
1926,10
1927,8
1928,15
1929,13
1930,0
1931,7
1932,8
1933,5
1934,12
1935,6
1936,0
1937,11
1938,17
1939,10
1940,8
1941,14
1942,16
1943,16
1944,7
1945,7
1946,11
1947,5
1948,11
1949,11
1950,14
1951,9
1952,14
1953,8
1954,12
1955,15
1956,12
1957,0
1958,9
1959,5
1960,6
1961,5
1962,5
1963,6
1964,8
1965,6
1966,12
1967,6
1968,7
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,7
1977,7
1978,6
1979,7
1980,5
1981,8
1982,0
1983,0
1984,5
1985,6
1986,0
1987,0
1988,5
1989,6
1990,0
1991,5
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,8
2007,0
2008,0
2009,0
2010,5
2011,11
2012,8
