year,Rondall
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,6
1927,7
1928,7
1929,6
1930,0
1931,6
1932,6
1933,0
1934,12
1935,12
1936,9
1937,12
1938,6
1939,13
1940,9
1941,18
1942,13
1943,18
1944,11
1945,15
1946,16
1947,15
1948,19
1949,10
1950,14
1951,12
1952,14
1953,14
1954,13
1955,15
1956,10
1957,14
1958,23
1959,15
1960,10
1961,25
1962,19
1963,21
1964,21
1965,23
1966,21
1967,16
1968,15
1969,19
1970,11
1971,10
1972,5
1973,9
1974,7
1975,7
1976,11
1977,8
1978,11
1979,12
1980,6
1981,6
1982,5
1983,6
1984,7
1985,6
1986,7
1987,7
1988,7
1989,0
1990,5
1991,0
1992,5
1993,6
1994,0
1995,0
1996,7
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
