year,Reola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,5
1906,5
1907,5
1908,8
1909,6
1910,9
1911,0
1912,7
1913,12
1914,11
1915,12
1916,21
1917,25
1918,19
1919,23
1920,13
1921,22
1922,28
1923,24
1924,30
1925,24
1926,25
1927,32
1928,27
1929,27
1930,19
1931,18
1932,9
1933,19
1934,17
1935,18
1936,14
1937,20
1938,18
1939,15
1940,19
1941,8
1942,16
1943,9
1944,11
1945,7
1946,8
1947,18
1948,9
1949,8
1950,14
1951,14
1952,8
1953,7
1954,9
1955,8
1956,12
1957,12
1958,9
1959,0
1960,0
1961,6
1962,6
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
