year,Rufino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,0
1916,6
1917,9
1918,7
1919,5
1920,13
1921,12
1922,13
1923,14
1924,10
1925,16
1926,13
1927,32
1928,20
1929,11
1930,13
1931,13
1932,0
1933,15
1934,17
1935,8
1936,14
1937,10
1938,13
1939,16
1940,15
1941,16
1942,15
1943,13
1944,18
1945,7
1946,15
1947,17
1948,22
1949,14
1950,11
1951,18
1952,17
1953,18
1954,17
1955,15
1956,17
1957,14
1958,12
1959,14
1960,12
1961,18
1962,14
1963,15
1964,15
1965,9
1966,14
1967,15
1968,19
1969,15
1970,15
1971,9
1972,9
1973,16
1974,14
1975,21
1976,13
1977,11
1978,21
1979,16
1980,22
1981,25
1982,17
1983,17
1984,12
1985,23
1986,18
1987,15
1988,22
1989,17
1990,23
1991,17
1992,22
1993,17
1994,19
1995,24
1996,26
1997,21
1998,15
1999,17
2000,29
2001,18
2002,11
2003,15
2004,22
2005,17
2006,27
2007,23
2008,23
2009,17
2010,11
2011,18
2012,12
