year,Raoul
1880,7
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,7
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,9
1898,0
1899,5
1900,6
1901,0
1902,0
1903,0
1904,0
1905,8
1906,7
1907,0
1908,8
1909,0
1910,8
1911,9
1912,16
1913,28
1914,24
1915,42
1916,32
1917,47
1918,42
1919,41
1920,38
1921,41
1922,31
1923,45
1924,43
1925,42
1926,41
1927,35
1928,53
1929,45
1930,45
1931,47
1932,43
1933,30
1934,38
1935,37
1936,38
1937,26
1938,30
1939,30
1940,35
1941,25
1942,36
1943,37
1944,21
1945,25
1946,30
1947,20
1948,34
1949,35
1950,34
1951,42
1952,27
1953,41
1954,33
1955,44
1956,47
1957,29
1958,34
1959,39
1960,34
1961,43
1962,38
1963,27
1964,32
1965,23
1966,18
1967,31
1968,32
1969,29
1970,38
1971,39
1972,23
1973,32
1974,18
1975,29
1976,25
1977,18
1978,29
1979,25
1980,22
1981,22
1982,24
1983,21
1984,13
1985,15
1986,19
1987,10
1988,17
1989,19
1990,15
1991,18
1992,25
1993,9
1994,13
1995,16
1996,15
1997,12
1998,17
1999,12
2000,11
2001,6
2002,15
2003,10
2004,11
2005,11
2006,0
2007,10
2008,9
2009,14
2010,6
2011,6
2012,8
