year,Rino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,6
1917,0
1918,7
1919,0
1920,0
1921,0
1922,0
1923,9
1924,10
1925,10
1926,5
1927,8
1928,5
1929,9
1930,15
1931,0
1932,5
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,8
1949,0
1950,0
1951,0
1952,0
1953,6
1954,0
1955,0
1956,0
1957,8
1958,0
1959,0
1960,0
1961,0
1962,5
1963,7
1964,5
1965,0
1966,6
1967,0
1968,8
1969,0
1970,7
1971,7
1972,8
1973,9
1974,0
1975,0
1976,0
1977,0
1978,6
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
