year,Rayfield
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,5
1898,5
1899,0
1900,8
1901,5
1902,0
1903,6
1904,11
1905,6
1906,10
1907,5
1908,6
1909,5
1910,8
1911,10
1912,18
1913,22
1914,17
1915,13
1916,31
1917,32
1918,19
1919,35
1920,27
1921,35
1922,28
1923,26
1924,32
1925,24
1926,27
1927,24
1928,21
1929,30
1930,27
1931,16
1932,24
1933,30
1934,27
1935,26
1936,22
1937,26
1938,28
1939,21
1940,19
1941,23
1942,21
1943,33
1944,23
1945,30
1946,26
1947,39
1948,22
1949,43
1950,37
1951,37
1952,31
1953,30
1954,33
1955,35
1956,33
1957,34
1958,31
1959,32
1960,19
1961,22
1962,27
1963,17
1964,11
1965,21
1966,16
1967,21
1968,16
1969,24
1970,13
1971,11
1972,11
1973,18
1974,17
1975,6
1976,12
1977,6
1978,16
1979,18
1980,12
1981,13
1982,10
1983,12
1984,7
1985,7
1986,6
1987,7
1988,13
1989,9
1990,9
1991,0
1992,8
1993,0
1994,5
1995,6
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
