year,Regena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,8
1915,13
1916,8
1917,17
1918,19
1919,20
1920,28
1921,14
1922,24
1923,14
1924,20
1925,22
1926,18
1927,16
1928,11
1929,15
1930,14
1931,13
1932,21
1933,17
1934,15
1935,24
1936,22
1937,19
1938,15
1939,17
1940,19
1941,16
1942,22
1943,33
1944,20
1945,37
1946,22
1947,40
1948,85
1949,75
1950,66
1951,79
1952,73
1953,66
1954,73
1955,67
1956,70
1957,59
1958,51
1959,57
1960,66
1961,54
1962,73
1963,56
1964,71
1965,55
1966,84
1967,58
1968,68
1969,56
1970,63
1971,41
1972,53
1973,39
1974,37
1975,48
1976,25
1977,35
1978,30
1979,29
1980,23
1981,12
1982,22
1983,22
1984,13
1985,8
1986,18
1987,9
1988,11
1989,9
1990,12
1991,0
1992,10
1993,0
1994,8
1995,0
1996,5
1997,0
1998,0
1999,0
2000,6
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,0
2008,8
2009,0
2010,0
2011,0
2012,0
