year,Regenia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,5
1915,8
1916,9
1917,11
1918,7
1919,11
1920,9
1921,12
1922,15
1923,16
1924,17
1925,19
1926,19
1927,12
1928,13
1929,13
1930,13
1931,11
1932,18
1933,17
1934,15
1935,12
1936,19
1937,15
1938,14
1939,20
1940,17
1941,29
1942,27
1943,33
1944,23
1945,28
1946,47
1947,52
1948,125
1949,103
1950,85
1951,88
1952,92
1953,81
1954,58
1955,101
1956,83
1957,74
1958,71
1959,68
1960,75
1961,88
1962,60
1963,65
1964,74
1965,59
1966,65
1967,50
1968,46
1969,51
1970,51
1971,46
1972,34
1973,26
1974,31
1975,28
1976,22
1977,24
1978,20
1979,15
1980,10
1981,7
1982,8
1983,0
1984,8
1985,0
1986,0
1987,6
1988,5
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
