year,Rina
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,9
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,5
1909,0
1910,0
1911,11
1912,0
1913,9
1914,15
1915,6
1916,19
1917,14
1918,17
1919,12
1920,18
1921,12
1922,15
1923,19
1924,27
1925,14
1926,16
1927,25
1928,15
1929,21
1930,19
1931,12
1932,15
1933,23
1934,11
1935,14
1936,11
1937,11
1938,9
1939,7
1940,21
1941,12
1942,13
1943,21
1944,14
1945,13
1946,18
1947,12
1948,13
1949,15
1950,18
1951,12
1952,16
1953,21
1954,15
1955,16
1956,20
1957,33
1958,26
1959,40
1960,31
1961,39
1962,49
1963,57
1964,77
1965,83
1966,65
1967,52
1968,63
1969,54
1970,58
1971,53
1972,46
1973,38
1974,44
1975,40
1976,53
1977,61
1978,67
1979,73
1980,90
1981,73
1982,68
1983,71
1984,69
1985,62
1986,40
1987,56
1988,60
1989,56
1990,67
1991,48
1992,52
1993,41
1994,56
1995,60
1996,50
1997,59
1998,59
1999,56
2000,55
2001,53
2002,74
2003,56
2004,61
2005,70
2006,61
2007,60
2008,69
2009,62
2010,57
2011,66
2012,72
