year,Risa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,12
1943,5
1944,12
1945,29
1946,14
1947,33
1948,28
1949,48
1950,46
1951,39
1952,41
1953,46
1954,64
1955,92
1956,94
1957,74
1958,89
1959,105
1960,125
1961,113
1962,131
1963,119
1964,108
1965,119
1966,124
1967,76
1968,83
1969,75
1970,55
1971,76
1972,56
1973,51
1974,59
1975,59
1976,49
1977,47
1978,46
1979,62
1980,49
1981,65
1982,52
1983,62
1984,62
1985,50
1986,42
1987,44
1988,65
1989,45
1990,71
1991,49
1992,55
1993,37
1994,48
1995,54
1996,31
1997,39
1998,54
1999,36
2000,43
2001,32
2002,49
2003,46
2004,32
2005,25
2006,20
2007,30
2008,31
2009,22
2010,22
2011,30
2012,33
