year,Ranae
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,9
1933,8
1934,9
1935,13
1936,12
1937,16
1938,14
1939,9
1940,10
1941,8
1942,12
1943,21
1944,18
1945,13
1946,25
1947,22
1948,25
1949,35
1950,30
1951,26
1952,37
1953,46
1954,56
1955,52
1956,61
1957,54
1958,51
1959,53
1960,61
1961,77
1962,83
1963,62
1964,53
1965,53
1966,57
1967,55
1968,49
1969,58
1970,50
1971,56
1972,48
1973,62
1974,41
1975,43
1976,31
1977,39
1978,32
1979,41
1980,24
1981,33
1982,32
1983,30
1984,30
1985,36
1986,21
1987,22
1988,29
1989,18
1990,16
1991,16
1992,20
1993,17
1994,17
1995,8
1996,13
1997,13
1998,13
1999,9
2000,5
2001,9
2002,15
2003,9
2004,6
2005,12
2006,6
2007,9
2008,13
2009,7
2010,13
2011,12
2012,12
