year,Racheal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,7
1912,6
1913,9
1914,6
1915,14
1916,27
1917,14
1918,20
1919,23
1920,26
1921,19
1922,19
1923,14
1924,15
1925,12
1926,14
1927,17
1928,8
1929,14
1930,14
1931,8
1932,10
1933,0
1934,6
1935,13
1936,18
1937,18
1938,12
1939,8
1940,10
1941,14
1942,9
1943,13
1944,18
1945,11
1946,17
1947,16
1948,22
1949,23
1950,20
1951,21
1952,29
1953,36
1954,35
1955,23
1956,33
1957,38
1958,27
1959,26
1960,31
1961,35
1962,27
1963,36
1964,25
1965,35
1966,47
1967,70
1968,78
1969,94
1970,120
1971,125
1972,137
1973,150
1974,196
1975,190
1976,208
1977,211
1978,235
1979,238
1980,284
1981,308
1982,301
1983,316
1984,345
1985,388
1986,379
1987,349
1988,360
1989,344
1990,354
1991,338
1992,333
1993,324
1994,291
1995,266
1996,239
1997,197
1998,157
1999,189
2000,157
2001,128
2002,126
2003,120
2004,92
2005,91
2006,88
2007,93
2008,77
2009,69
2010,57
2011,42
2012,32
