year,Ramond
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,7
1912,9
1913,11
1914,17
1915,17
1916,19
1917,20
1918,10
1919,21
1920,19
1921,26
1922,19
1923,12
1924,27
1925,23
1926,21
1927,28
1928,23
1929,17
1930,28
1931,15
1932,26
1933,28
1934,25
1935,11
1936,21
1937,17
1938,15
1939,20
1940,19
1941,12
1942,17
1943,13
1944,18
1945,14
1946,13
1947,14
1948,15
1949,10
1950,13
1951,14
1952,16
1953,19
1954,13
1955,22
1956,14
1957,12
1958,12
1959,16
1960,15
1961,16
1962,22
1963,26
1964,20
1965,14
1966,18
1967,17
1968,19
1969,18
1970,17
1971,20
1972,17
1973,20
1974,15
1975,27
1976,20
1977,21
1978,21
1979,27
1980,30
1981,24
1982,30
1983,26
1984,23
1985,26
1986,16
1987,19
1988,26
1989,24
1990,23
1991,22
1992,21
1993,12
1994,17
1995,15
1996,17
1997,9
1998,8
1999,11
2000,11
2001,18
2002,8
2003,13
2004,10
2005,10
2006,5
2007,9
2008,12
2009,8
2010,6
2011,11
2012,8
