year,Rebeka
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,6
1959,0
1960,8
1961,0
1962,6
1963,5
1964,5
1965,0
1966,6
1967,5
1968,9
1969,12
1970,12
1971,6
1972,15
1973,14
1974,19
1975,28
1976,19
1977,29
1978,35
1979,33
1980,30
1981,41
1982,45
1983,41
1984,46
1985,37
1986,42
1987,55
1988,55
1989,66
1990,87
1991,93
1992,92
1993,93
1994,85
1995,74
1996,86
1997,79
1998,84
1999,77
2000,72
2001,63
2002,76
2003,78
2004,65
2005,77
2006,70
2007,65
2008,61
2009,60
2010,52
2011,39
2012,39
