year,Rosalina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,9
1915,10
1916,10
1917,12
1918,17
1919,7
1920,9
1921,8
1922,19
1923,11
1924,16
1925,14
1926,14
1927,20
1928,13
1929,17
1930,16
1931,24
1932,13
1933,17
1934,15
1935,9
1936,15
1937,16
1938,15
1939,19
1940,22
1941,8
1942,9
1943,14
1944,10
1945,15
1946,21
1947,13
1948,27
1949,25
1950,17
1951,19
1952,16
1953,21
1954,28
1955,32
1956,19
1957,34
1958,32
1959,19
1960,34
1961,29
1962,34
1963,21
1964,27
1965,34
1966,18
1967,22
1968,26
1969,34
1970,20
1971,26
1972,35
1973,27
1974,29
1975,32
1976,30
1977,41
1978,42
1979,36
1980,39
1981,46
1982,57
1983,45
1984,46
1985,36
1986,51
1987,30
1988,34
1989,35
1990,44
1991,44
1992,29
1993,35
1994,38
1995,34
1996,31
1997,31
1998,40
1999,37
2000,41
2001,41
2002,41
2003,40
2004,31
2005,43
2006,36
2007,74
2008,63
2009,55
2010,64
2011,63
2012,72
