year,Rudolfo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,5
1917,0
1918,7
1919,13
1920,7
1921,12
1922,10
1923,14
1924,12
1925,19
1926,36
1927,29
1928,24
1929,32
1930,14
1931,22
1932,16
1933,20
1934,14
1935,17
1936,12
1937,13
1938,18
1939,12
1940,15
1941,24
1942,15
1943,26
1944,16
1945,20
1946,23
1947,37
1948,33
1949,38
1950,48
1951,57
1952,49
1953,54
1954,63
1955,72
1956,42
1957,55
1958,32
1959,31
1960,30
1961,31
1962,28
1963,28
1964,28
1965,37
1966,43
1967,25
1968,22
1969,19
1970,37
1971,33
1972,29
1973,32
1974,19
1975,18
1976,27
1977,32
1978,22
1979,21
1980,28
1981,44
1982,28
1983,15
1984,18
1985,28
1986,26
1987,20
1988,16
1989,26
1990,23
1991,24
1992,17
1993,23
1994,18
1995,15
1996,14
1997,14
1998,11
1999,7
2000,17
2001,14
2002,15
2003,8
2004,9
2005,7
2006,9
2007,8
2008,9
2009,10
2010,5
2011,6
2012,6
