year,Rosilyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,7
1931,5
1932,10
1933,5
1934,0
1935,0
1936,0
1937,6
1938,5
1939,7
1940,7
1941,5
1942,6
1943,11
1944,7
1945,11
1946,12
1947,8
1948,9
1949,22
1950,20
1951,15
1952,19
1953,13
1954,8
1955,9
1956,12
1957,20
1958,13
1959,12
1960,16
1961,13
1962,12
1963,12
1964,10
1965,10
1966,16
1967,16
1968,12
1969,9
1970,7
1971,6
1972,8
1973,15
1974,7
1975,8
1976,8
1977,8
1978,5
1979,5
1980,0
1981,5
1982,6
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,8
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,8
2007,0
2008,5
2009,0
2010,0
2011,9
2012,6
