year,Rebbeca
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,7
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,0
1950,7
1951,13
1952,6
1953,10
1954,0
1955,14
1956,11
1957,11
1958,7
1959,7
1960,21
1961,15
1962,19
1963,11
1964,15
1965,16
1966,14
1967,10
1968,10
1969,17
1970,17
1971,22
1972,24
1973,19
1974,30
1975,27
1976,24
1977,20
1978,12
1979,15
1980,26
1981,20
1982,22
1983,21
1984,24
1985,19
1986,16
1987,18
1988,18
1989,28
1990,29
1991,25
1992,20
1993,19
1994,20
1995,10
1996,21
1997,18
1998,11
1999,9
2000,17
2001,0
2002,6
2003,10
2004,7
2005,7
2006,6
2007,8
2008,0
2009,6
2010,0
2011,0
2012,0
