year,Reda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,8
1906,8
1907,0
1908,5
1909,0
1910,0
1911,5
1912,8
1913,9
1914,13
1915,15
1916,19
1917,16
1918,30
1919,20
1920,20
1921,22
1922,21
1923,37
1924,30
1925,19
1926,30
1927,43
1928,20
1929,26
1930,25
1931,26
1932,27
1933,29
1934,19
1935,30
1936,32
1937,31
1938,39
1939,25
1940,32
1941,30
1942,32
1943,27
1944,27
1945,30
1946,42
1947,47
1948,40
1949,31
1950,50
1951,41
1952,46
1953,44
1954,57
1955,67
1956,54
1957,51
1958,44
1959,29
1960,40
1961,23
1962,19
1963,20
1964,23
1965,21
1966,16
1967,13
1968,15
1969,10
1970,7
1971,0
1972,15
1973,0
1974,8
1975,6
1976,10
1977,7
1978,0
1979,0
1980,7
1981,0
1982,9
1983,5
1984,5
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,12
1998,5
1999,6
2000,6
2001,6
2002,9
2003,7
2004,10
2005,19
2006,9
2007,9
2008,23
2009,18
2010,17
2011,20
2012,26
