year,Rosellen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,7
1917,5
1918,8
1919,8
1920,14
1921,15
1922,22
1923,16
1924,14
1925,13
1926,15
1927,7
1928,14
1929,7
1930,6
1931,13
1932,15
1933,13
1934,17
1935,7
1936,12
1937,16
1938,9
1939,8
1940,17
1941,13
1942,17
1943,16
1944,12
1945,19
1946,15
1947,14
1948,24
1949,25
1950,23
1951,17
1952,23
1953,12
1954,22
1955,11
1956,16
1957,19
1958,17
1959,14
1960,12
1961,10
1962,16
1963,8
1964,7
1965,13
1966,6
1967,8
1968,5
1969,0
1970,7
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,7
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,7
1988,5
1989,0
1990,0
1991,9
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
