year,Raeford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,8
1916,9
1917,6
1918,13
1919,16
1920,7
1921,15
1922,9
1923,9
1924,18
1925,11
1926,16
1927,10
1928,12
1929,15
1930,20
1931,11
1932,9
1933,17
1934,8
1935,14
1936,18
1937,10
1938,6
1939,5
1940,8
1941,21
1942,20
1943,12
1944,11
1945,7
1946,19
1947,9
1948,11
1949,14
1950,16
1951,18
1952,11
1953,13
1954,12
1955,8
1956,12
1957,13
1958,6
1959,8
1960,0
1961,7
1962,0
1963,5
1964,6
1965,0
1966,5
1967,0
1968,12
1969,0
1970,7
1971,0
1972,6
1973,5
1974,0
1975,7
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
