year,Rebeccah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,6
1953,14
1954,9
1955,14
1956,12
1957,5
1958,15
1959,15
1960,12
1961,14
1962,18
1963,7
1964,10
1965,14
1966,8
1967,15
1968,16
1969,11
1970,19
1971,18
1972,15
1973,21
1974,25
1975,31
1976,28
1977,37
1978,38
1979,41
1980,35
1981,38
1982,35
1983,37
1984,28
1985,37
1986,31
1987,34
1988,26
1989,39
1990,45
1991,186
1992,76
1993,50
1994,54
1995,28
1996,25
1997,34
1998,33
1999,21
2000,29
2001,23
2002,27
2003,14
2004,16
2005,9
2006,5
2007,14
2008,9
2009,7
2010,7
2011,0
2012,0
