year,Rojelio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,12
1923,12
1924,12
1925,5
1926,9
1927,12
1928,12
1929,15
1930,18
1931,12
1932,12
1933,10
1934,19
1935,12
1936,10
1937,9
1938,18
1939,22
1940,10
1941,18
1942,18
1943,15
1944,20
1945,27
1946,25
1947,29
1948,26
1949,28
1950,30
1951,34
1952,48
1953,41
1954,34
1955,29
1956,27
1957,49
1958,39
1959,45
1960,30
1961,39
1962,40
1963,36
1964,39
1965,32
1966,35
1967,38
1968,25
1969,43
1970,35
1971,49
1972,40
1973,38
1974,32
1975,45
1976,49
1977,52
1978,45
1979,48
1980,53
1981,66
1982,52
1983,52
1984,50
1985,47
1986,43
1987,47
1988,38
1989,43
1990,51
1991,49
1992,43
1993,58
1994,39
1995,30
1996,33
1997,36
1998,32
1999,40
2000,37
2001,22
2002,27
2003,28
2004,32
2005,25
2006,33
2007,25
2008,22
2009,16
2010,15
2011,16
2012,20
