year,Robbie (F),Robbie (M)
1880,0.000030,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000041,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000039,0.000000
1887,0.000040,0.000000
1888,0.000043,0.000000
1889,0.000052,0.000017
1890,0.000066,0.000020
1891,0.000084,0.000000
1892,0.000066,0.000000
1893,0.000061,0.000000
1894,0.000083,0.000000
1895,0.000077,0.000000
1896,0.000087,0.000000
1897,0.000098,0.000020
1898,0.000113,0.000000
1899,0.000130,0.000000
1900,0.000104,0.000000
1901,0.000087,0.000000
1902,0.000111,0.000021
1903,0.000155,0.000013
1904,0.000109,0.000000
1905,0.000142,0.000000
1906,0.000114,0.000000
1907,0.000125,0.000017
1908,0.000121,0.000016
1909,0.000160,0.000022
1910,0.000124,0.000015
1911,0.000132,0.000016
1912,0.000143,0.000015
1913,0.000131,0.000009
1914,0.000127,0.000013
1915,0.000106,0.000015
1916,0.000111,0.000013
1917,0.000112,0.000013
1918,0.000145,0.000012
1919,0.000125,0.000014
1920,0.000127,0.000013
1921,0.000117,0.000009
1922,0.000123,0.000010
1923,0.000124,0.000012
1924,0.000132,0.000010
1925,0.000142,0.000014
1926,0.000135,0.000015
1927,0.000153,0.000019
1928,0.000133,0.000019
1929,0.000151,0.000011
1930,0.000146,0.000015
1931,0.000153,0.000019
1932,0.000175,0.000022
1933,0.000160,0.000019
1934,0.000145,0.000028
1935,0.000152,0.000022
1936,0.000139,0.000024
1937,0.000134,0.000016
1938,0.000136,0.000021
1939,0.000138,0.000029
1940,0.000134,0.000032
1941,0.000124,0.000029
1942,0.000113,0.000026
1943,0.000109,0.000022
1944,0.000106,0.000019
1945,0.000100,0.000023
1946,0.000089,0.000033
1947,0.000089,0.000041
1948,0.000098,0.000034
1949,0.000088,0.000034
1950,0.000093,0.000034
1951,0.000090,0.000036
1952,0.000097,0.000047
1953,0.000105,0.000047
1954,0.000109,0.000057
1955,0.000099,0.000058
1956,0.000108,0.000075
1957,0.000116,0.000088
1958,0.000113,0.000098
1959,0.000103,0.000094
1960,0.000111,0.000109
1961,0.000114,0.000165
1962,0.000099,0.000174
1963,0.000100,0.000223
1964,0.000096,0.000218
1965,0.000082,0.000196
1966,0.000073,0.000171
1967,0.000067,0.000166
1968,0.000069,0.000193
1969,0.000066,0.000205
1970,0.000062,0.000186
1971,0.000062,0.000191
1972,0.000057,0.000186
1973,0.000050,0.000163
1974,0.000051,0.000136
1975,0.000039,0.000132
1976,0.000031,0.000103
1977,0.000038,0.000136
1978,0.000036,0.000111
1979,0.000029,0.000101
1980,0.000032,0.000100
1981,0.000026,0.000100
1982,0.000024,0.000090
1983,0.000022,0.000078
1984,0.000015,0.000053
1985,0.000018,0.000062
1986,0.000019,0.000063
1987,0.000014,0.000049
1988,0.000015,0.000057
1989,0.000013,0.000051
1990,0.000011,0.000047
1991,0.000010,0.000038
1992,0.000012,0.000040
1993,0.000011,0.000040
1994,0.000009,0.000030
1995,0.000012,0.000032
1996,0.000012,0.000032
1997,0.000008,0.000024
1998,0.000009,0.000022
1999,0.000010,0.000025
2000,0.000006,0.000026
2001,0.000005,0.000022
2002,0.000006,0.000022
2003,0.000006,0.000020
2004,0.000006,0.000016
2005,0.000005,0.000017
2006,0.000006,0.000017
2007,0.000005,0.000015
2008,0.000005,0.000016
2009,0.000005,0.000017
2010,0.000004,0.000018
2011,0.000003,0.000019
2012,0.000006,0.000021
