year,Rosann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,6
1916,0
1917,0
1918,9
1919,0
1920,0
1921,6
1922,10
1923,8
1924,16
1925,7
1926,12
1927,15
1928,23
1929,11
1930,19
1931,24
1932,27
1933,24
1934,25
1935,37
1936,35
1937,28
1938,38
1939,39
1940,32
1941,56
1942,66
1943,102
1944,76
1945,69
1946,84
1947,88
1948,74
1949,81
1950,91
1951,96
1952,110
1953,86
1954,107
1955,97
1956,91
1957,90
1958,73
1959,88
1960,63
1961,71
1962,66
1963,61
1964,45
1965,43
1966,40
1967,26
1968,31
1969,26
1970,28
1971,31
1972,21
1973,11
1974,11
1975,14
1976,8
1977,26
1978,17
1979,12
1980,12
1981,18
1982,19
1983,20
1984,11
1985,11
1986,11
1987,10
1988,14
1989,11
1990,6
1991,9
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,7
2011,0
2012,0
