year,Rudolph (F),Rudolph (M)
1880,0.000000,0.000268
1881,0.000000,0.000322
1882,0.000000,0.000235
1883,0.000000,0.000281
1884,0.000000,0.000316
1885,0.000000,0.000291
1886,0.000000,0.000266
1887,0.000000,0.000287
1888,0.000000,0.000180
1889,0.000000,0.000287
1890,0.000000,0.000305
1891,0.000000,0.000237
1892,0.000000,0.000284
1893,0.000000,0.000311
1894,0.000000,0.000307
1895,0.000000,0.000302
1896,0.000000,0.000302
1897,0.000000,0.000314
1898,0.000000,0.000301
1899,0.000000,0.000295
1900,0.000000,0.000326
1901,0.000000,0.000252
1902,0.000000,0.000308
1903,0.000000,0.000315
1904,0.000000,0.000317
1905,0.000000,0.000311
1906,0.000000,0.000292
1907,0.000000,0.000290
1908,0.000000,0.000354
1909,0.000000,0.000338
1910,0.000000,0.000369
1911,0.000000,0.000337
1912,0.000000,0.000458
1913,0.000000,0.000496
1914,0.000005,0.000517
1915,0.000003,0.000532
1916,0.000000,0.000510
1917,0.000003,0.000471
1918,0.000005,0.000443
1919,0.000000,0.000381
1920,0.000002,0.000367
1921,0.000003,0.000411
1922,0.000000,0.000500
1923,0.000000,0.000567
1924,0.000004,0.000516
1925,0.000005,0.000533
1926,0.000003,0.000714
1927,0.000004,0.000725
1928,0.000008,0.000579
1929,0.000005,0.000558
1930,0.000007,0.000547
1931,0.000006,0.000524
1932,0.000002,0.000453
1933,0.000003,0.000425
1934,0.000004,0.000375
1935,0.000000,0.000357
1936,0.000000,0.000311
1937,0.000000,0.000295
1938,0.000000,0.000309
1939,0.000000,0.000266
1940,0.000002,0.000271
1941,0.000000,0.000246
1942,0.000000,0.000242
1943,0.000000,0.000235
1944,0.000002,0.000213
1945,0.000002,0.000216
1946,0.000002,0.000197
1947,0.000000,0.000194
1948,0.000000,0.000208
1949,0.000000,0.000235
1950,0.000000,0.000216
1951,0.000001,0.000225
1952,0.000000,0.000204
1953,0.000000,0.000193
1954,0.000000,0.000164
1955,0.000002,0.000163
1956,0.000000,0.000175
1957,0.000000,0.000135
1958,0.000000,0.000117
1959,0.000000,0.000111
1960,0.000000,0.000106
1961,0.000000,0.000100
1962,0.000000,0.000103
1963,0.000000,0.000104
1964,0.000000,0.000097
1965,0.000000,0.000091
1966,0.000000,0.000101
1967,0.000000,0.000081
1968,0.000000,0.000080
1969,0.000000,0.000072
1970,0.000000,0.000086
1971,0.000000,0.000080
1972,0.000000,0.000073
1973,0.000002,0.000072
1974,0.000002,0.000071
1975,0.000000,0.000062
1976,0.000000,0.000066
1977,0.000000,0.000057
1978,0.000000,0.000057
1979,0.000000,0.000057
1980,0.000000,0.000057
1981,0.000000,0.000049
1982,0.000000,0.000055
1983,0.000000,0.000051
1984,0.000000,0.000047
1985,0.000000,0.000044
1986,0.000000,0.000039
1987,0.000000,0.000043
1988,0.000000,0.000046
1989,0.000000,0.000048
1990,0.000000,0.000037
1991,0.000000,0.000033
1992,0.000000,0.000031
1993,0.000000,0.000029
1994,0.000000,0.000029
1995,0.000000,0.000029
1996,0.000000,0.000030
1997,0.000000,0.000021
1998,0.000000,0.000025
1999,0.000000,0.000017
2000,0.000000,0.000019
2001,0.000000,0.000022
2002,0.000000,0.000018
2003,0.000000,0.000017
2004,0.000000,0.000015
2005,0.000000,0.000015
2006,0.000000,0.000013
2007,0.000000,0.000011
2008,0.000000,0.000014
2009,0.000000,0.000009
2010,0.000000,0.000009
2011,0.000000,0.000012
2012,0.000000,0.000012
2013,0.000000,0.000010
