year,Ric
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,13
1944,6
1945,7
1946,20
1947,21
1948,18
1949,23
1950,20
1951,37
1952,38
1953,26
1954,42
1955,42
1956,40
1957,39
1958,55
1959,48
1960,38
1961,46
1962,35
1963,29
1964,26
1965,43
1966,30
1967,23
1968,26
1969,33
1970,25
1971,23
1972,13
1973,8
1974,16
1975,15
1976,13
1977,15
1978,13
1979,10
1980,14
1981,7
1982,7
1983,18
1984,16
1985,16
1986,19
1987,22
1988,34
1989,13
1990,9
1991,13
1992,8
1993,8
1994,11
1995,7
1996,7
1997,5
1998,9
1999,10
2000,6
2001,9
2002,0
2003,8
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,7
