year,Rebecka
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,5
1951,6
1952,10
1953,14
1954,18
1955,14
1956,11
1957,12
1958,12
1959,18
1960,17
1961,13
1962,17
1963,11
1964,28
1965,20
1966,14
1967,19
1968,33
1969,34
1970,26
1971,37
1972,55
1973,56
1974,65
1975,68
1976,60
1977,51
1978,52
1979,77
1980,55
1981,66
1982,86
1983,69
1984,64
1985,67
1986,69
1987,63
1988,86
1989,83
1990,108
1991,110
1992,108
1993,121
1994,106
1995,111
1996,91
1997,92
1998,95
1999,69
2000,74
2001,82
2002,56
2003,53
2004,47
2005,44
2006,45
2007,36
2008,39
2009,38
2010,27
2011,35
2012,19
