year,Raeann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,7
1939,0
1940,7
1941,9
1942,5
1943,0
1944,18
1945,5
1946,13
1947,10
1948,15
1949,11
1950,17
1951,12
1952,19
1953,23
1954,16
1955,18
1956,19
1957,26
1958,36
1959,39
1960,37
1961,47
1962,62
1963,52
1964,34
1965,75
1966,48
1967,61
1968,52
1969,60
1970,66
1971,52
1972,47
1973,56
1974,54
1975,37
1976,55
1977,43
1978,49
1979,52
1980,64
1981,63
1982,51
1983,58
1984,55
1985,66
1986,73
1987,59
1988,73
1989,78
1990,89
1991,83
1992,67
1993,77
1994,79
1995,88
1996,94
1997,102
1998,107
1999,97
2000,94
2001,77
2002,79
2003,72
2004,67
2005,65
2006,52
2007,48
2008,51
2009,21
2010,32
2011,30
2012,38
