year,Rufus (F),Rufus (M)
1880,0.000000,0.000809
1881,0.000000,0.000628
1882,0.000000,0.000664
1883,0.000000,0.000576
1884,0.000000,0.000481
1885,0.000000,0.000490
1886,0.000000,0.000544
1887,0.000000,0.000481
1888,0.000000,0.000421
1889,0.000000,0.000374
1890,0.000000,0.000382
1891,0.000000,0.000373
1892,0.000000,0.000410
1893,0.000000,0.000427
1894,0.000000,0.000378
1895,0.000000,0.000385
1896,0.000000,0.000406
1897,0.000000,0.000357
1898,0.000000,0.000370
1899,0.000000,0.000374
1900,0.000000,0.000349
1901,0.000000,0.000350
1902,0.000000,0.000393
1903,0.000000,0.000352
1904,0.000000,0.000342
1905,0.000000,0.000370
1906,0.000000,0.000364
1907,0.000000,0.000376
1908,0.000000,0.000319
1909,0.000000,0.000403
1910,0.000000,0.000374
1911,0.000000,0.000357
1912,0.000000,0.000340
1913,0.000005,0.000361
1914,0.000000,0.000349
1915,0.000004,0.000321
1916,0.000000,0.000298
1917,0.000000,0.000322
1918,0.000003,0.000332
1919,0.000002,0.000321
1920,0.000003,0.000322
1921,0.000000,0.000309
1922,0.000004,0.000322
1923,0.000000,0.000294
1924,0.000003,0.000298
1925,0.000003,0.000290
1926,0.000004,0.000279
1927,0.000003,0.000297
1928,0.000003,0.000266
1929,0.000002,0.000259
1930,0.000000,0.000254
1931,0.000003,0.000230
1932,0.000000,0.000242
1933,0.000000,0.000239
1934,0.000000,0.000232
1935,0.000000,0.000220
1936,0.000003,0.000217
1937,0.000000,0.000223
1938,0.000000,0.000201
1939,0.000000,0.000195
1940,0.000003,0.000199
1941,0.000000,0.000188
1942,0.000002,0.000167
1943,0.000000,0.000171
1944,0.000000,0.000178
1945,0.000000,0.000155
1946,0.000000,0.000146
1947,0.000000,0.000136
1948,0.000001,0.000135
1949,0.000002,0.000143
1950,0.000000,0.000116
1951,0.000001,0.000121
1952,0.000002,0.000120
1953,0.000000,0.000116
1954,0.000000,0.000119
1955,0.000001,0.000101
1956,0.000000,0.000098
1957,0.000001,0.000098
1958,0.000000,0.000084
1959,0.000000,0.000086
1960,0.000000,0.000080
1961,0.000001,0.000080
1962,0.000000,0.000067
1963,0.000000,0.000076
1964,0.000000,0.000078
1965,0.000001,0.000063
1966,0.000000,0.000066
1967,0.000000,0.000068
1968,0.000000,0.000057
1969,0.000000,0.000059
1970,0.000000,0.000051
1971,0.000000,0.000057
1972,0.000000,0.000057
1973,0.000000,0.000054
1974,0.000000,0.000047
1975,0.000000,0.000049
1976,0.000000,0.000049
1977,0.000000,0.000045
1978,0.000000,0.000042
1979,0.000000,0.000040
1980,0.000000,0.000043
1981,0.000000,0.000040
1982,0.000000,0.000034
1983,0.000000,0.000035
1984,0.000000,0.000031
1985,0.000000,0.000035
1986,0.000000,0.000025
1987,0.000000,0.000027
1988,0.000000,0.000026
1989,0.000000,0.000020
1990,0.000000,0.000020
1991,0.000000,0.000020
1992,0.000000,0.000017
1993,0.000000,0.000015
1994,0.000000,0.000017
1995,0.000000,0.000012
1996,0.000000,0.000011
1997,0.000000,0.000013
1998,0.000000,0.000011
1999,0.000000,0.000012
2000,0.000000,0.000010
2001,0.000000,0.000009
2002,0.000000,0.000010
2003,0.000000,0.000007
2004,0.000000,0.000011
2005,0.000000,0.000009
2006,0.000000,0.000009
2007,0.000000,0.000007
2008,0.000000,0.000007
2009,0.000000,0.000006
2010,0.000000,0.000010
2011,0.000000,0.000011
2012,0.000000,0.000008
2013,0.000000,0.000012
2014,0.000000,0.000005
2015,0.000000,0.000012
2016,0.000000,0.000010
2017,0.000000,0.000010
2018,0.000000,0.000007
2019,0.000000,0.000009
2020,0.000000,0.000008
