year,Richmond (F),Richmond (M)
1880,0.000000,0.000040
1881,0.000000,0.000031
1882,0.000000,0.000050
1883,0.000000,0.000060
1884,0.000000,0.000045
1885,0.000000,0.000037
1886,0.000000,0.000031
1887,0.000000,0.000053
1888,0.000000,0.000033
1889,0.000000,0.000031
1890,0.000000,0.000017
1891,0.000000,0.000031
1892,0.000000,0.000027
1893,0.000000,0.000049
1894,0.000000,0.000027
1895,0.000000,0.000028
1896,0.000000,0.000028
1897,0.000000,0.000032
1898,0.000000,0.000047
1899,0.000000,0.000056
1900,0.000000,0.000033
1901,0.000000,0.000014
1902,0.000000,0.000026
1903,0.000000,0.000042
1904,0.000000,0.000025
1905,0.000000,0.000021
1906,0.000000,0.000042
1907,0.000000,0.000034
1908,0.000000,0.000035
1909,0.000000,0.000014
1910,0.000000,0.000027
1911,0.000000,0.000031
1912,0.000000,0.000028
1913,0.000000,0.000034
1914,0.000000,0.000023
1915,0.000000,0.000029
1916,0.000000,0.000031
1917,0.000000,0.000023
1918,0.000000,0.000022
1919,0.000000,0.000025
1920,0.000000,0.000015
1921,0.000000,0.000031
1922,0.000000,0.000023
1923,0.000000,0.000025
1924,0.000000,0.000024
1925,0.000000,0.000021
1926,0.000000,0.000028
1927,0.000000,0.000019
1928,0.000000,0.000022
1929,0.000000,0.000022
1930,0.000000,0.000023
1931,0.000000,0.000020
1932,0.000000,0.000018
1933,0.000000,0.000019
1934,0.000000,0.000015
1935,0.000000,0.000018
1936,0.000000,0.000016
1937,0.000000,0.000015
1938,0.000000,0.000019
1939,0.000000,0.000020
1940,0.000000,0.000017
1941,0.000000,0.000014
1942,0.000000,0.000013
1943,0.000000,0.000015
1944,0.000000,0.000014
1945,0.000000,0.000014
1946,0.000000,0.000015
1947,0.000000,0.000013
1948,0.000000,0.000012
1949,0.000000,0.000011
1950,0.000000,0.000012
1951,0.000000,0.000014
1952,0.000000,0.000010
1953,0.000000,0.000011
1954,0.000000,0.000009
1955,0.000000,0.000009
1956,0.000000,0.000010
1957,0.000000,0.000010
1958,0.000000,0.000009
1959,0.000000,0.000009
1960,0.000000,0.000008
1961,0.000000,0.000006
1962,0.000000,0.000009
1963,0.000000,0.000007
1964,0.000000,0.000007
1965,0.000000,0.000008
1966,0.000000,0.000007
1967,0.000000,0.000014
1968,0.000000,0.000010
1969,0.000000,0.000011
1970,0.000000,0.000013
1971,0.000000,0.000010
1972,0.000000,0.000014
1973,0.000000,0.000011
1974,0.000000,0.000010
1975,0.000000,0.000008
1976,0.000000,0.000012
1977,0.000000,0.000008
1978,0.000000,0.000008
1979,0.000000,0.000010
1980,0.000000,0.000006
1981,0.000000,0.000009
1982,0.000000,0.000008
1983,0.000000,0.000008
1984,0.000000,0.000008
1985,0.000000,0.000007
1986,0.000000,0.000008
1987,0.000000,0.000008
1988,0.000000,0.000008
1989,0.000000,0.000007
1990,0.000000,0.000012
1991,0.000000,0.000010
1992,0.000000,0.000013
1993,0.000000,0.000011
1994,0.000000,0.000007
1995,0.000000,0.000007
1996,0.000000,0.000009
1997,0.000000,0.000006
1998,0.000000,0.000008
1999,0.000000,0.000007
2000,0.000000,0.000008
2001,0.000000,0.000007
2002,0.000000,0.000006
2003,0.000000,0.000007
2004,0.000000,0.000007
2005,0.000000,0.000007
2006,0.000000,0.000005
2007,0.000000,0.000004
2008,0.000000,0.000005
2009,0.000000,0.000006
2010,0.000000,0.000005
2011,0.000000,0.000006
2012,0.000000,0.000007
2013,0.000000,0.000005
