year,Rheba
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,8
1902,0
1903,0
1904,6
1905,7
1906,14
1907,8
1908,7
1909,5
1910,9
1911,14
1912,10
1913,9
1914,14
1915,35
1916,27
1917,26
1918,23
1919,36
1920,37
1921,34
1922,37
1923,35
1924,52
1925,37
1926,30
1927,37
1928,24
1929,38
1930,27
1931,37
1932,18
1933,25
1934,24
1935,20
1936,30
1937,28
1938,26
1939,17
1940,14
1941,19
1942,18
1943,15
1944,24
1945,14
1946,13
1947,28
1948,17
1949,14
1950,14
1951,18
1952,18
1953,6
1954,14
1955,11
1956,14
1957,11
1958,6
1959,8
1960,11
1961,8
1962,8
1963,7
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
