year,Ranee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,7
1944,0
1945,0
1946,11
1947,6
1948,15
1949,15
1950,9
1951,10
1952,16
1953,22
1954,17
1955,20
1956,20
1957,35
1958,40
1959,31
1960,26
1961,30
1962,30
1963,24
1964,33
1965,29
1966,29
1967,24
1968,36
1969,66
1970,53
1971,71
1972,52
1973,45
1974,44
1975,48
1976,52
1977,44
1978,31
1979,27
1980,22
1981,19
1982,25
1983,16
1984,26
1985,12
1986,15
1987,8
1988,14
1989,12
1990,15
1991,10
1992,11
1993,9
1994,11
1995,12
1996,10
1997,7
1998,8
1999,6
2000,6
2001,0
2002,0
2003,0
2004,11
2005,8
2006,7
2007,0
2008,5
2009,0
2010,5
2011,0
2012,0
