year,Refugio (F),Refugio (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000017,0.000000
1891,0.000000,0.000000
1892,0.000024,0.000000
1893,0.000000,0.000000
1894,0.000015,0.000000
1895,0.000020,0.000000
1896,0.000000,0.000000
1897,0.000020,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000013,0.000011
1901,0.000017,0.000000
1902,0.000013,0.000013
1903,0.000000,0.000000
1904,0.000022,0.000000
1905,0.000014,0.000000
1906,0.000023,0.000014
1907,0.000019,0.000013
1908,0.000023,0.000000
1909,0.000014,0.000018
1910,0.000015,0.000015
1911,0.000008,0.000012
1912,0.000014,0.000011
1913,0.000004,0.000018
1914,0.000004,0.000020
1915,0.000010,0.000014
1916,0.000007,0.000018
1917,0.000009,0.000015
1918,0.000017,0.000017
1919,0.000009,0.000021
1920,0.000017,0.000020
1921,0.000011,0.000017
1922,0.000005,0.000019
1923,0.000011,0.000021
1924,0.000013,0.000029
1925,0.000011,0.000024
1926,0.000015,0.000025
1927,0.000016,0.000030
1928,0.000012,0.000027
1929,0.000013,0.000024
1930,0.000010,0.000024
1931,0.000008,0.000026
1932,0.000009,0.000024
1933,0.000005,0.000022
1934,0.000007,0.000022
1935,0.000003,0.000016
1936,0.000005,0.000017
1937,0.000000,0.000023
1938,0.000005,0.000023
1939,0.000009,0.000018
1940,0.000003,0.000017
1941,0.000004,0.000014
1942,0.000004,0.000014
1943,0.000004,0.000019
1944,0.000002,0.000016
1945,0.000002,0.000019
1946,0.000003,0.000017
1947,0.000002,0.000014
1948,0.000002,0.000018
1949,0.000002,0.000016
1950,0.000002,0.000012
1951,0.000002,0.000014
1952,0.000003,0.000010
1953,0.000002,0.000010
1954,0.000002,0.000013
1955,0.000002,0.000009
1956,0.000000,0.000009
1957,0.000001,0.000012
1958,0.000000,0.000008
1959,0.000002,0.000008
1960,0.000000,0.000010
1961,0.000000,0.000008
1962,0.000001,0.000009
1963,0.000000,0.000007
1964,0.000000,0.000008
1965,0.000000,0.000010
1966,0.000001,0.000009
1967,0.000000,0.000007
1968,0.000001,0.000010
1969,0.000000,0.000011
1970,0.000000,0.000009
1971,0.000002,0.000012
1972,0.000000,0.000010
1973,0.000000,0.000013
1974,0.000002,0.000016
1975,0.000003,0.000018
1976,0.000002,0.000014
1977,0.000000,0.000015
1978,0.000000,0.000012
1979,0.000002,0.000014
1980,0.000000,0.000013
1981,0.000000,0.000016
1982,0.000001,0.000014
1983,0.000001,0.000012
1984,0.000000,0.000012
1985,0.000000,0.000012
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000001,0.000008
1989,0.000000,0.000008
1990,0.000000,0.000008
1991,0.000000,0.000011
1992,0.000000,0.000012
1993,0.000000,0.000007
1994,0.000000,0.000010
1995,0.000000,0.000006
1996,0.000000,0.000009
1997,0.000000,0.000009
1998,0.000000,0.000005
1999,0.000000,0.000008
2000,0.000000,0.000006
2001,0.000000,0.000008
2002,0.000000,0.000007
2003,0.000000,0.000006
2004,0.000000,0.000003
2005,0.000000,0.000006
2006,0.000000,0.000007
2007,0.000000,0.000006
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000000,0.000003
2012,0.000000,0.000000
2013,0.000000,0.000004
2014,0.000000,0.000002
2015,0.000000,0.000002
2016,0.000000,0.000002
2017,0.000000,0.000003
2018,0.000000,0.000000
2019,0.000000,0.000004
2020,0.000000,0.000002
