year,Romelia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,10
1913,0
1914,0
1915,5
1916,6
1917,8
1918,7
1919,11
1920,12
1921,14
1922,9
1923,14
1924,22
1925,20
1926,11
1927,13
1928,14
1929,12
1930,14
1931,14
1932,21
1933,20
1934,15
1935,19
1936,17
1937,13
1938,24
1939,14
1940,25
1941,29
1942,16
1943,17
1944,21
1945,20
1946,23
1947,17
1948,12
1949,25
1950,25
1951,24
1952,22
1953,17
1954,34
1955,21
1956,27
1957,27
1958,20
1959,25
1960,31
1961,21
1962,17
1963,22
1964,17
1965,19
1966,14
1967,13
1968,21
1969,17
1970,21
1971,19
1972,19
1973,16
1974,11
1975,18
1976,14
1977,17
1978,18
1979,21
1980,22
1981,17
1982,11
1983,9
1984,5
1985,14
1986,16
1987,13
1988,7
1989,17
1990,6
1991,6
1992,11
1993,11
1994,11
1995,10
1996,8
1997,10
1998,8
1999,9
2000,0
2001,11
2002,8
2003,8
2004,8
2005,7
2006,6
2007,8
2008,0
2009,0
2010,8
2011,0
2012,6
