year,Rogene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,9
1916,0
1917,0
1918,12
1919,7
1920,13
1921,14
1922,14
1923,17
1924,15
1925,26
1926,22
1927,30
1928,11
1929,22
1930,22
1931,20
1932,14
1933,11
1934,26
1935,23
1936,13
1937,25
1938,23
1939,25
1940,28
1941,22
1942,17
1943,20
1944,16
1945,18
1946,19
1947,31
1948,20
1949,16
1950,15
1951,14
1952,21
1953,18
1954,24
1955,11
1956,12
1957,9
1958,6
1959,8
1960,7
1961,7
1962,0
1963,7
1964,6
1965,7
1966,0
1967,0
1968,5
1969,7
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
