year,Rueben (F),Rueben (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000023
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000018
1894,0.000000,0.000021
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000023
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000017
1906,0.000000,0.000012
1907,0.000000,0.000021
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000015
1911,0.000000,0.000026
1912,0.000000,0.000016
1913,0.000000,0.000021
1914,0.000000,0.000029
1915,0.000000,0.000027
1916,0.000000,0.000021
1917,0.000000,0.000029
1918,0.000000,0.000027
1919,0.000000,0.000029
1920,0.000000,0.000023
1921,0.000000,0.000031
1922,0.000000,0.000030
1923,0.000000,0.000029
1924,0.000000,0.000026
1925,0.000000,0.000023
1926,0.000000,0.000027
1927,0.000000,0.000022
1928,0.000000,0.000022
1929,0.000000,0.000020
1930,0.000000,0.000022
1931,0.000000,0.000020
1932,0.000000,0.000012
1933,0.000000,0.000019
1934,0.000000,0.000011
1935,0.000000,0.000016
1936,0.000000,0.000017
1937,0.000000,0.000018
1938,0.000000,0.000008
1939,0.000000,0.000007
1940,0.000000,0.000010
1941,0.000000,0.000013
1942,0.000000,0.000013
1943,0.000000,0.000013
1944,0.000000,0.000009
1945,0.000000,0.000009
1946,0.000000,0.000009
1947,0.000000,0.000009
1948,0.000000,0.000009
1949,0.000000,0.000013
1950,0.000000,0.000011
1951,0.000000,0.000008
1952,0.000000,0.000009
1953,0.000000,0.000009
1954,0.000000,0.000010
1955,0.000000,0.000010
1956,0.000000,0.000009
1957,0.000000,0.000013
1958,0.000000,0.000012
1959,0.000000,0.000009
1960,0.000000,0.000012
1961,0.000000,0.000010
1962,0.000000,0.000014
1963,0.000000,0.000013
1964,0.000000,0.000009
1965,0.000000,0.000012
1966,0.000000,0.000013
1967,0.000000,0.000012
1968,0.000000,0.000010
1969,0.000000,0.000009
1970,0.000000,0.000013
1971,0.000000,0.000012
1972,0.000000,0.000018
1973,0.000000,0.000017
1974,0.000000,0.000014
1975,0.000000,0.000019
1976,0.000000,0.000018
1977,0.000000,0.000017
1978,0.000000,0.000016
1979,0.000000,0.000016
1980,0.000000,0.000019
1981,0.000000,0.000015
1982,0.000000,0.000016
1983,0.000000,0.000016
1984,0.000000,0.000014
1985,0.000000,0.000013
1986,0.000000,0.000018
1987,0.000000,0.000016
1988,0.000000,0.000018
1989,0.000000,0.000017
1990,0.000000,0.000018
1991,0.000000,0.000013
1992,0.000000,0.000016
1993,0.000000,0.000013
1994,0.000000,0.000012
1995,0.000000,0.000013
1996,0.000000,0.000013
1997,0.000000,0.000015
1998,0.000000,0.000010
1999,0.000000,0.000010
2000,0.000000,0.000011
2001,0.000000,0.000016
2002,0.000000,0.000009
2003,0.000000,0.000010
2004,0.000000,0.000012
2005,0.000000,0.000008
2006,0.000000,0.000006
2007,0.000000,0.000009
2008,0.000000,0.000010
2009,0.000000,0.000010
2010,0.000000,0.000006
2011,0.000000,0.000006
2012,0.000000,0.000010
2013,0.000000,0.000008
