year,Rodgers
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,5
1914,7
1915,7
1916,13
1917,10
1918,11
1919,13
1920,6
1921,12
1922,13
1923,9
1924,14
1925,6
1926,8
1927,14
1928,10
1929,13
1930,8
1931,8
1932,12
1933,7
1934,9
1935,11
1936,7
1937,9
1938,10
1939,8
1940,6
1941,10
1942,10
1943,13
1944,11
1945,6
1946,11
1947,10
1948,8
1949,9
1950,8
1951,18
1952,13
1953,13
1954,7
1955,6
1956,13
1957,7
1958,9
1959,8
1960,8
1961,5
1962,7
1963,6
1964,0
1965,0
1966,0
1967,0
1968,7
1969,5
1970,0
1971,0
1972,5
1973,0
1974,0
1975,9
1976,5
1977,7
1978,5
1979,6
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
