year,Ronna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,5
1928,0
1929,0
1930,0
1931,6
1932,7
1933,10
1934,9
1935,21
1936,12
1937,22
1938,23
1939,26
1940,33
1941,37
1942,95
1943,71
1944,69
1945,93
1946,97
1947,123
1948,129
1949,136
1950,125
1951,116
1952,131
1953,142
1954,114
1955,152
1956,126
1957,129
1958,133
1959,132
1960,156
1961,132
1962,124
1963,158
1964,152
1965,123
1966,113
1967,145
1968,133
1969,121
1970,105
1971,83
1972,68
1973,61
1974,53
1975,41
1976,43
1977,49
1978,29
1979,32
1980,29
1981,19
1982,27
1983,25
1984,10
1985,25
1986,23
1987,11
1988,19
1989,24
1990,11
1991,10
1992,20
1993,12
1994,19
1995,7
1996,13
1997,7
1998,7
1999,9
2000,10
2001,9
2002,7
2003,7
2004,5
2005,0
2006,0
2007,0
2008,0
2009,7
2010,0
2011,0
2012,0
