year,Rowan (F),Rowan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000003
1917,0.000000,0.000000
1918,0.000000,0.000003
1919,0.000000,0.000003
1920,0.000000,0.000002
1921,0.000000,0.000004
1922,0.000000,0.000005
1923,0.000000,0.000003
1924,0.000000,0.000003
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000005
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000006
1932,0.000000,0.000002
1933,0.000000,0.000003
1934,0.000000,0.000005
1935,0.000000,0.000003
1936,0.000000,0.000003
1937,0.000000,0.000004
1938,0.000000,0.000004
1939,0.000000,0.000003
1940,0.000000,0.000002
1941,0.000000,0.000000
1942,0.000003,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000003
1945,0.000000,0.000004
1946,0.000000,0.000003
1947,0.000000,0.000002
1948,0.000000,0.000003
1949,0.000000,0.000004
1950,0.000000,0.000003
1951,0.000000,0.000001
1952,0.000000,0.000003
1953,0.000000,0.000002
1954,0.000000,0.000001
1955,0.000000,0.000002
1956,0.000000,0.000002
1957,0.000000,0.000002
1958,0.000000,0.000002
1959,0.000000,0.000002
1960,0.000000,0.000001
1961,0.000000,0.000001
1962,0.000000,0.000000
1963,0.000000,0.000001
1964,0.000000,0.000004
1965,0.000000,0.000002
1966,0.000000,0.000002
1967,0.000000,0.000002
1968,0.000000,0.000002
1969,0.000000,0.000003
1970,0.000000,0.000000
1971,0.000000,0.000003
1972,0.000000,0.000002
1973,0.000000,0.000002
1974,0.000000,0.000002
1975,0.000002,0.000003
1976,0.000000,0.000004
1977,0.000000,0.000000
1978,0.000000,0.000004
1979,0.000000,0.000004
1980,0.000002,0.000003
1981,0.000002,0.000006
1982,0.000003,0.000005
1983,0.000003,0.000003
1984,0.000003,0.000004
1985,0.000001,0.000006
1986,0.000003,0.000006
1987,0.000002,0.000004
1988,0.000003,0.000008
1989,0.000003,0.000007
1990,0.000001,0.000007
1991,0.000008,0.000010
1992,0.000009,0.000011
1993,0.000016,0.000010
1994,0.000025,0.000014
1995,0.000029,0.000017
1996,0.000040,0.000024
1997,0.000046,0.000030
1998,0.000040,0.000028
1999,0.000038,0.000039
2000,0.000042,0.000041
2001,0.000046,0.000053
2002,0.000055,0.000055
2003,0.000064,0.000086
2004,0.000099,0.000138
2005,0.000090,0.000157
2006,0.000114,0.000170
2007,0.000178,0.000217
2008,0.000172,0.000247
2009,0.000161,0.000251
2010,0.000165,0.000259
2011,0.000149,0.000286
2012,0.000187,0.000314
2013,0.000196,0.000328
2014,0.000209,0.000418
2015,0.000268,0.000491
2016,0.000368,0.000598
2017,0.000405,0.000797
2018,0.000416,0.000866
2019,0.000390,0.000930
2020,0.000353,0.000978
