year,Robbyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,8
1950,0
1951,40
1952,21
1953,22
1954,25
1955,22
1956,28
1957,25
1958,34
1959,34
1960,24
1961,29
1962,45
1963,38
1964,39
1965,34
1966,23
1967,21
1968,23
1969,23
1970,27
1971,31
1972,29
1973,22
1974,34
1975,24
1976,18
1977,19
1978,14
1979,13
1980,7
1981,16
1982,19
1983,11
1984,14
1985,16
1986,18
1987,9
1988,9
1989,8
1990,12
1991,11
1992,15
1993,11
1994,7
1995,12
1996,5
1997,8
1998,9
1999,5
2000,6
2001,0
2002,8
2003,6
2004,0
2005,0
2006,5
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
