year,Robb
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,11
1939,6
1940,5
1941,6
1942,0
1943,5
1944,7
1945,5
1946,12
1947,19
1948,18
1949,9
1950,19
1951,21
1952,29
1953,35
1954,30
1955,43
1956,51
1957,66
1958,56
1959,46
1960,60
1961,54
1962,88
1963,88
1964,102
1965,94
1966,90
1967,90
1968,214
1969,237
1970,246
1971,149
1972,156
1973,91
1974,83
1975,84
1976,66
1977,75
1978,50
1979,43
1980,40
1981,43
1982,42
1983,28
1984,35
1985,36
1986,32
1987,18
1988,26
1989,44
1990,32
1991,22
1992,15
1993,13
1994,8
1995,12
1996,7
1997,6
1998,7
1999,12
2000,6
2001,0
2002,8
2003,0
2004,7
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
