year,Retta
1880,25
1881,17
1882,23
1883,22
1884,21
1885,28
1886,28
1887,30
1888,31
1889,24
1890,26
1891,27
1892,26
1893,28
1894,28
1895,34
1896,31
1897,28
1898,34
1899,32
1900,40
1901,33
1902,29
1903,29
1904,24
1905,26
1906,20
1907,29
1908,24
1909,22
1910,22
1911,25
1912,25
1913,25
1914,33
1915,42
1916,38
1917,43
1918,43
1919,38
1920,48
1921,41
1922,60
1923,43
1924,43
1925,36
1926,41
1927,41
1928,48
1929,42
1930,34
1931,36
1932,48
1933,39
1934,60
1935,48
1936,39
1937,48
1938,43
1939,42
1940,32
1941,38
1942,42
1943,54
1944,46
1945,50
1946,45
1947,36
1948,42
1949,50
1950,50
1951,58
1952,49
1953,39
1954,55
1955,48
1956,50
1957,37
1958,45
1959,51
1960,39
1961,32
1962,23
1963,17
1964,24
1965,22
1966,12
1967,16
1968,25
1969,15
1970,18
1971,18
1972,12
1973,14
1974,10
1975,10
1976,8
1977,6
1978,5
1979,0
1980,6
1981,11
1982,0
1983,5
1984,9
1985,6
1986,5
1987,0
1988,0
1989,0
1990,6
1991,5
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
