year,Rosalio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,12
1913,8
1914,0
1915,8
1916,9
1917,15
1918,13
1919,14
1920,21
1921,14
1922,20
1923,21
1924,29
1925,20
1926,31
1927,20
1928,33
1929,20
1930,26
1931,24
1932,19
1933,22
1934,12
1935,15
1936,19
1937,15
1938,19
1939,11
1940,28
1941,25
1942,19
1943,15
1944,21
1945,11
1946,13
1947,24
1948,15
1949,9
1950,29
1951,21
1952,20
1953,21
1954,22
1955,14
1956,30
1957,12
1958,18
1959,19
1960,19
1961,23
1962,16
1963,19
1964,16
1965,16
1966,15
1967,10
1968,13
1969,14
1970,20
1971,18
1972,10
1973,16
1974,20
1975,24
1976,21
1977,22
1978,28
1979,23
1980,28
1981,30
1982,28
1983,30
1984,19
1985,18
1986,20
1987,24
1988,14
1989,25
1990,25
1991,22
1992,23
1993,34
1994,39
1995,22
1996,26
1997,25
1998,20
1999,22
2000,27
2001,16
2002,16
2003,18
2004,19
2005,16
2006,22
2007,17
2008,16
2009,11
2010,20
2011,9
2012,6
