year,Rosalia
1880,9
1881,10
1882,8
1883,8
1884,6
1885,5
1886,5
1887,12
1888,7
1889,10
1890,9
1891,13
1892,15
1893,9
1894,23
1895,18
1896,16
1897,28
1898,16
1899,20
1900,27
1901,22
1902,13
1903,25
1904,18
1905,25
1906,30
1907,27
1908,28
1909,28
1910,30
1911,29
1912,46
1913,59
1914,60
1915,92
1916,77
1917,93
1918,81
1919,59
1920,75
1921,71
1922,67
1923,73
1924,81
1925,71
1926,54
1927,71
1928,58
1929,56
1930,46
1931,49
1932,51
1933,38
1934,39
1935,30
1936,39
1937,24
1938,43
1939,37
1940,27
1941,32
1942,35
1943,40
1944,29
1945,32
1946,35
1947,26
1948,49
1949,50
1950,53
1951,39
1952,52
1953,47
1954,39
1955,36
1956,46
1957,56
1958,50
1959,53
1960,52
1961,54
1962,60
1963,51
1964,68
1965,54
1966,51
1967,57
1968,62
1969,61
1970,60
1971,65
1972,49
1973,64
1974,66
1975,63
1976,68
1977,66
1978,62
1979,122
1980,95
1981,102
1982,110
1983,68
1984,78
1985,58
1986,68
1987,54
1988,54
1989,74
1990,78
1991,77
1992,79
1993,52
1994,87
1995,79
1996,76
1997,73
1998,57
1999,71
2000,74
2001,79
2002,81
2003,73
2004,74
2005,86
2006,87
2007,86
2008,69
2009,93
2010,79
2011,91
2012,98
