year,Richardo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,10
1938,0
1939,0
1940,0
1941,6
1942,0
1943,11
1944,7
1945,11
1946,9
1947,17
1948,18
1949,10
1950,7
1951,25
1952,28
1953,27
1954,25
1955,38
1956,33
1957,26
1958,32
1959,39
1960,38
1961,30
1962,25
1963,32
1964,31
1965,27
1966,28
1967,31
1968,30
1969,30
1970,24
1971,31
1972,39
1973,34
1974,45
1975,41
1976,31
1977,38
1978,44
1979,40
1980,42
1981,52
1982,38
1983,45
1984,59
1985,53
1986,49
1987,50
1988,67
1989,55
1990,58
1991,50
1992,46
1993,39
1994,35
1995,30
1996,25
1997,15
1998,22
1999,18
2000,12
2001,19
2002,18
2003,7
2004,14
2005,6
2006,9
2007,10
2008,10
2009,9
2010,9
2011,5
2012,0
