year,Roxann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,6
1933,11
1934,9
1935,8
1936,17
1937,13
1938,22
1939,16
1940,35
1941,27
1942,33
1943,37
1944,43
1945,53
1946,55
1947,69
1948,76
1949,84
1950,171
1951,243
1952,264
1953,338
1954,381
1955,425
1956,391
1957,330
1958,296
1959,311
1960,334
1961,322
1962,250
1963,256
1964,228
1965,214
1966,220
1967,167
1968,174
1969,170
1970,193
1971,167
1972,112
1973,115
1974,111
1975,106
1976,96
1977,89
1978,91
1979,133
1980,113
1981,100
1982,118
1983,87
1984,91
1985,125
1986,116
1987,95
1988,63
1989,71
1990,53
1991,42
1992,27
1993,34
1994,32
1995,25
1996,20
1997,13
1998,14
1999,18
2000,13
2001,17
2002,18
2003,16
2004,11
2005,13
2006,12
2007,17
2008,24
2009,11
2010,22
2011,23
2012,19
