year,Ransom
1880,5
1881,11
1882,16
1883,9
1884,12
1885,12
1886,13
1887,14
1888,10
1889,13
1890,16
1891,11
1892,14
1893,12
1894,13
1895,13
1896,14
1897,7
1898,8
1899,6
1900,12
1901,10
1902,14
1903,0
1904,9
1905,8
1906,10
1907,6
1908,15
1909,16
1910,15
1911,13
1912,30
1913,32
1914,40
1915,61
1916,45
1917,46
1918,45
1919,49
1920,43
1921,49
1922,41
1923,44
1924,45
1925,36
1926,43
1927,38
1928,40
1929,44
1930,48
1931,27
1932,23
1933,39
1934,24
1935,25
1936,37
1937,34
1938,24
1939,31
1940,30
1941,37
1942,40
1943,36
1944,21
1945,24
1946,31
1947,30
1948,28
1949,34
1950,29
1951,29
1952,31
1953,27
1954,27
1955,28
1956,36
1957,27
1958,15
1959,24
1960,20
1961,24
1962,21
1963,25
1964,16
1965,17
1966,14
1967,27
1968,19
1969,17
1970,10
1971,23
1972,9
1973,12
1974,13
1975,12
1976,18
1977,16
1978,15
1979,19
1980,14
1981,22
1982,14
1983,17
1984,25
1985,30
1986,21
1987,28
1988,22
1989,24
1990,23
1991,24
1992,23
1993,27
1994,25
1995,39
1996,26
1997,46
1998,42
1999,35
2000,43
2001,28
2002,31
2003,29
2004,35
2005,51
2006,55
2007,60
2008,55
2009,67
2010,83
2011,69
2012,78
