year,Richele
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,6
1954,13
1955,7
1956,6
1957,10
1958,6
1959,13
1960,9
1961,27
1962,18
1963,22
1964,22
1965,21
1966,27
1967,24
1968,27
1969,43
1970,26
1971,29
1972,30
1973,28
1974,21
1975,10
1976,22
1977,12
1978,16
1979,14
1980,10
1981,19
1982,15
1983,17
1984,11
1985,18
1986,12
1987,20
1988,9
1989,10
1990,17
1991,15
1992,10
1993,8
1994,15
1995,5
1996,7
1997,11
1998,7
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
