year,Royce (F),Royce (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000020
1896,0.000000,0.000028
1897,0.000000,0.000020
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000024
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000026
1904,0.000000,0.000020
1905,0.000000,0.000017
1906,0.000000,0.000023
1907,0.000000,0.000017
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000019
1911,0.000000,0.000036
1912,0.000000,0.000037
1913,0.000000,0.000039
1914,0.000000,0.000054
1915,0.000003,0.000059
1916,0.000003,0.000064
1917,0.000002,0.000064
1918,0.000006,0.000061
1919,0.000005,0.000064
1920,0.000006,0.000076
1921,0.000007,0.000085
1922,0.000004,0.000081
1923,0.000006,0.000090
1924,0.000007,0.000098
1925,0.000011,0.000095
1926,0.000010,0.000106
1927,0.000007,0.000107
1928,0.000013,0.000115
1929,0.000010,0.000128
1930,0.000007,0.000130
1931,0.000010,0.000141
1932,0.000009,0.000145
1933,0.000015,0.000145
1934,0.000009,0.000143
1935,0.000011,0.000175
1936,0.000012,0.000153
1937,0.000010,0.000153
1938,0.000016,0.000150
1939,0.000012,0.000135
1940,0.000014,0.000145
1941,0.000006,0.000147
1942,0.000016,0.000118
1943,0.000021,0.000131
1944,0.000020,0.000129
1945,0.000022,0.000122
1946,0.000015,0.000111
1947,0.000011,0.000100
1948,0.000010,0.000103
1949,0.000012,0.000094
1950,0.000012,0.000093
1951,0.000008,0.000097
1952,0.000010,0.000095
1953,0.000015,0.000091
1954,0.000009,0.000092
1955,0.000007,0.000092
1956,0.000014,0.000086
1957,0.000009,0.000079
1958,0.000008,0.000080
1959,0.000006,0.000081
1960,0.000008,0.000072
1961,0.000005,0.000066
1962,0.000005,0.000072
1963,0.000007,0.000070
1964,0.000008,0.000065
1965,0.000005,0.000061
1966,0.000005,0.000055
1967,0.000005,0.000067
1968,0.000006,0.000055
1969,0.000004,0.000066
1970,0.000004,0.000059
1971,0.000004,0.000067
1972,0.000004,0.000059
1973,0.000006,0.000054
1974,0.000003,0.000053
1975,0.000003,0.000048
1976,0.000003,0.000057
1977,0.000005,0.000057
1978,0.000003,0.000054
1979,0.000002,0.000056
1980,0.000003,0.000051
1981,0.000002,0.000055
1982,0.000002,0.000062
1983,0.000002,0.000048
1984,0.000002,0.000056
1985,0.000004,0.000060
1986,0.000002,0.000051
1987,0.000001,0.000054
1988,0.000004,0.000055
1989,0.000001,0.000050
1990,0.000002,0.000053
1991,0.000002,0.000050
1992,0.000001,0.000051
1993,0.000003,0.000055
1994,0.000000,0.000053
1995,0.000002,0.000052
1996,0.000002,0.000049
1997,0.000002,0.000036
1998,0.000000,0.000042
1999,0.000002,0.000043
2000,0.000000,0.000047
2001,0.000000,0.000035
2002,0.000000,0.000036
2003,0.000002,0.000036
2004,0.000000,0.000039
2005,0.000000,0.000051
2006,0.000002,0.000054
2007,0.000001,0.000057
2008,0.000002,0.000057
2009,0.000003,0.000057
2010,0.000004,0.000083
2011,0.000009,0.000131
2012,0.000012,0.000148
