year,Rosebud
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,6
1895,0
1896,5
1897,8
1898,0
1899,5
1900,9
1901,5
1902,6
1903,8
1904,11
1905,8
1906,8
1907,11
1908,10
1909,10
1910,7
1911,6
1912,10
1913,13
1914,25
1915,19
1916,19
1917,22
1918,22
1919,35
1920,33
1921,39
1922,33
1923,33
1924,24
1925,20
1926,20
1927,32
1928,17
1929,15
1930,11
1931,12
1932,14
1933,12
1934,8
1935,0
1936,10
1937,9
1938,11
1939,7
1940,0
1941,12
1942,5
1943,14
1944,8
1945,7
1946,0
1947,0
1948,9
1949,6
1950,6
1951,0
1952,7
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
