year,Roosevelt (F),Roosevelt (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000034
1896,0.000000,0.000020
1897,0.000000,0.000020
1898,0.000000,0.000021
1899,0.000000,0.000068
1900,0.000000,0.000160
1901,0.000000,0.000260
1902,0.000016,0.000429
1903,0.000000,0.000514
1904,0.000015,0.000570
1905,0.000019,0.000623
1906,0.000000,0.000462
1907,0.000000,0.000473
1908,0.000000,0.000397
1909,0.000000,0.000313
1910,0.000000,0.000376
1911,0.000000,0.000306
1912,0.000000,0.000270
1913,0.000000,0.000212
1914,0.000000,0.000188
1915,0.000000,0.000148
1916,0.000000,0.000170
1917,0.000000,0.000142
1918,0.000003,0.000152
1919,0.000003,0.000170
1920,0.000000,0.000158
1921,0.000000,0.000156
1922,0.000000,0.000159
1923,0.000002,0.000185
1924,0.000000,0.000169
1925,0.000000,0.000193
1926,0.000003,0.000205
1927,0.000000,0.000208
1928,0.000003,0.000225
1929,0.000002,0.000226
1930,0.000000,0.000240
1931,0.000003,0.000222
1932,0.000003,0.000394
1933,0.000009,0.000604
1934,0.000005,0.000489
1935,0.000003,0.000363
1936,0.000000,0.000355
1937,0.000004,0.000318
1938,0.000000,0.000300
1939,0.000004,0.000266
1940,0.000002,0.000276
1941,0.000000,0.000265
1942,0.000000,0.000223
1943,0.000000,0.000216
1944,0.000000,0.000211
1945,0.000000,0.000213
1946,0.000002,0.000162
1947,0.000000,0.000154
1948,0.000000,0.000173
1949,0.000001,0.000174
1950,0.000000,0.000167
1951,0.000000,0.000151
1952,0.000002,0.000156
1953,0.000000,0.000153
1954,0.000001,0.000153
1955,0.000002,0.000147
1956,0.000002,0.000147
1957,0.000002,0.000139
1958,0.000002,0.000119
1959,0.000002,0.000113
1960,0.000001,0.000114
1961,0.000002,0.000103
1962,0.000002,0.000105
1963,0.000000,0.000111
1964,0.000002,0.000101
1965,0.000002,0.000098
1966,0.000000,0.000088
1967,0.000002,0.000086
1968,0.000001,0.000088
1969,0.000000,0.000075
1970,0.000000,0.000080
1971,0.000000,0.000075
1972,0.000000,0.000073
1973,0.000000,0.000067
1974,0.000000,0.000072
1975,0.000000,0.000066
1976,0.000000,0.000068
1977,0.000000,0.000064
1978,0.000000,0.000052
1979,0.000000,0.000057
1980,0.000000,0.000060
1981,0.000000,0.000047
1982,0.000000,0.000045
1983,0.000000,0.000040
1984,0.000000,0.000049
1985,0.000000,0.000044
1986,0.000000,0.000040
1987,0.000002,0.000042
1988,0.000000,0.000040
1989,0.000000,0.000042
1990,0.000000,0.000036
1991,0.000000,0.000034
1992,0.000000,0.000033
1993,0.000000,0.000033
1994,0.000000,0.000027
1995,0.000000,0.000027
1996,0.000000,0.000020
1997,0.000000,0.000025
1998,0.000000,0.000015
1999,0.000000,0.000021
2000,0.000000,0.000014
2001,0.000000,0.000016
2002,0.000000,0.000016
2003,0.000000,0.000016
2004,0.000000,0.000012
2005,0.000000,0.000012
2006,0.000000,0.000016
2007,0.000000,0.000016
2008,0.000000,0.000015
2009,0.000000,0.000014
2010,0.000000,0.000016
2011,0.000000,0.000011
2012,0.000000,0.000013
2013,0.000003,0.000011
2014,0.000000,0.000013
2015,0.000002,0.000014
2016,0.000004,0.000015
2017,0.000004,0.000013
2018,0.000005,0.000013
2019,0.000003,0.000012
2020,0.000004,0.000011
