year,Rowena
1880,8
1881,6
1882,13
1883,13
1884,19
1885,20
1886,18
1887,27
1888,19
1889,17
1890,28
1891,32
1892,32
1893,41
1894,33
1895,41
1896,43
1897,34
1898,32
1899,38
1900,42
1901,37
1902,37
1903,27
1904,43
1905,27
1906,46
1907,41
1908,54
1909,52
1910,55
1911,60
1912,96
1913,119
1914,136
1915,182
1916,165
1917,224
1918,175
1919,200
1920,194
1921,209
1922,181
1923,188
1924,165
1925,170
1926,162
1927,171
1928,157
1929,176
1930,158
1931,159
1932,180
1933,139
1934,168
1935,122
1936,122
1937,136
1938,157
1939,140
1940,121
1941,120
1942,109
1943,124
1944,99
1945,89
1946,107
1947,113
1948,85
1949,89
1950,98
1951,114
1952,113
1953,154
1954,162
1955,134
1956,121
1957,137
1958,107
1959,127
1960,111
1961,126
1962,143
1963,122
1964,99
1965,91
1966,75
1967,80
1968,64
1969,49
1970,55
1971,77
1972,58
1973,58
1974,45
1975,60
1976,54
1977,55
1978,48
1979,55
1980,59
1981,44
1982,52
1983,47
1984,41
1985,38
1986,35
1987,24
1988,27
1989,24
1990,21
1991,22
1992,18
1993,16
1994,10
1995,11
1996,19
1997,16
1998,17
1999,13
2000,15
2001,11
2002,12
2003,6
2004,14
2005,18
2006,15
2007,9
2008,12
2009,14
2010,7
2011,15
2012,11
