year,Reinhold
1880,0
1881,0
1882,10
1883,8
1884,5
1885,5
1886,0
1887,5
1888,0
1889,0
1890,5
1891,7
1892,7
1893,7
1894,7
1895,6
1896,10
1897,9
1898,0
1899,5
1900,6
1901,5
1902,7
1903,0
1904,10
1905,11
1906,9
1907,6
1908,12
1909,13
1910,10
1911,18
1912,32
1913,41
1914,50
1915,65
1916,59
1917,72
1918,62
1919,38
1920,58
1921,51
1922,39
1923,31
1924,32
1925,36
1926,33
1927,27
1928,34
1929,27
1930,40
1931,23
1932,22
1933,23
1934,19
1935,16
1936,14
1937,11
1938,16
1939,11
1940,16
1941,13
1942,13
1943,9
1944,6
1945,6
1946,11
1947,12
1948,9
1949,13
1950,5
1951,0
1952,10
1953,6
1954,5
1955,6
1956,12
1957,5
1958,7
1959,7
1960,11
1961,7
1962,5
1963,0
1964,7
1965,5
1966,7
1967,0
1968,6
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
