year,Reynold
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,7
1896,0
1897,6
1898,0
1899,5
1900,0
1901,0
1902,5
1903,15
1904,5
1905,7
1906,7
1907,7
1908,6
1909,13
1910,15
1911,9
1912,34
1913,51
1914,48
1915,77
1916,80
1917,71
1918,65
1919,68
1920,73
1921,83
1922,92
1923,90
1924,76
1925,78
1926,68
1927,53
1928,74
1929,60
1930,77
1931,68
1932,54
1933,78
1934,62
1935,55
1936,60
1937,82
1938,71
1939,70
1940,68
1941,61
1942,70
1943,62
1944,68
1945,64
1946,87
1947,61
1948,53
1949,72
1950,90
1951,49
1952,62
1953,68
1954,77
1955,74
1956,50
1957,37
1958,60
1959,62
1960,51
1961,58
1962,35
1963,52
1964,47
1965,32
1966,57
1967,43
1968,34
1969,38
1970,31
1971,35
1972,24
1973,32
1974,26
1975,26
1976,15
1977,24
1978,15
1979,35
1980,32
1981,28
1982,21
1983,21
1984,20
1985,25
1986,23
1987,19
1988,23
1989,17
1990,26
1991,17
1992,18
1993,10
1994,16
1995,14
1996,14
1997,14
1998,7
1999,13
2000,15
2001,15
2002,8
2003,13
2004,11
2005,11
2006,12
2007,8
2008,10
2009,5
2010,9
2011,11
2012,12
