year,Rashelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,6
1957,0
1958,7
1959,5
1960,5
1961,11
1962,6
1963,9
1964,12
1965,13
1966,14
1967,8
1968,15
1969,22
1970,26
1971,22
1972,27
1973,28
1974,33
1975,21
1976,22
1977,22
1978,40
1979,38
1980,38
1981,23
1982,33
1983,41
1984,48
1985,43
1986,40
1987,43
1988,46
1989,50
1990,38
1991,41
1992,36
1993,35
1994,36
1995,17
1996,27
1997,28
1998,24
1999,21
2000,19
2001,20
2002,11
2003,18
2004,15
2005,19
2006,30
2007,19
2008,8
2009,10
2010,12
2011,13
2012,5
