year,Royal (F),Royal (M)
1880,0.000000,0.000129
1881,0.000000,0.000104
1882,0.000000,0.000122
1883,0.000000,0.000097
1884,0.000000,0.000131
1885,0.000000,0.000116
1886,0.000000,0.000074
1887,0.000000,0.000097
1888,0.000000,0.000134
1889,0.000000,0.000128
1890,0.000000,0.000103
1891,0.000000,0.000115
1892,0.000000,0.000126
1893,0.000000,0.000117
1894,0.000000,0.000068
1895,0.000000,0.000091
1896,0.000000,0.000073
1897,0.000000,0.000058
1898,0.000000,0.000068
1899,0.000000,0.000083
1900,0.000000,0.000056
1901,0.000000,0.000067
1902,0.000000,0.000080
1903,0.000000,0.000073
1904,0.000000,0.000074
1905,0.000000,0.000071
1906,0.000000,0.000089
1907,0.000000,0.000060
1908,0.000000,0.000078
1909,0.000000,0.000080
1910,0.000000,0.000074
1911,0.000000,0.000056
1912,0.000000,0.000101
1913,0.000000,0.000080
1914,0.000000,0.000088
1915,0.000000,0.000086
1916,0.000000,0.000090
1917,0.000000,0.000093
1918,0.000000,0.000103
1919,0.000000,0.000096
1920,0.000000,0.000088
1921,0.000000,0.000082
1922,0.000000,0.000100
1923,0.000000,0.000098
1924,0.000000,0.000090
1925,0.000000,0.000086
1926,0.000000,0.000079
1927,0.000000,0.000085
1928,0.000004,0.000080
1929,0.000002,0.000097
1930,0.000000,0.000071
1931,0.000005,0.000070
1932,0.000000,0.000071
1933,0.000004,0.000073
1934,0.000000,0.000061
1935,0.000000,0.000059
1936,0.000000,0.000062
1937,0.000002,0.000061
1938,0.000000,0.000061
1939,0.000000,0.000051
1940,0.000000,0.000055
1941,0.000000,0.000044
1942,0.000000,0.000045
1943,0.000000,0.000043
1944,0.000000,0.000050
1945,0.000002,0.000054
1946,0.000002,0.000038
1947,0.000002,0.000043
1948,0.000001,0.000036
1949,0.000000,0.000037
1950,0.000000,0.000032
1951,0.000000,0.000036
1952,0.000000,0.000027
1953,0.000000,0.000031
1954,0.000001,0.000027
1955,0.000001,0.000026
1956,0.000000,0.000032
1957,0.000000,0.000024
1958,0.000002,0.000016
1959,0.000000,0.000022
1960,0.000000,0.000023
1961,0.000000,0.000022
1962,0.000000,0.000020
1963,0.000000,0.000017
1964,0.000000,0.000020
1965,0.000001,0.000022
1966,0.000000,0.000019
1967,0.000000,0.000019
1968,0.000000,0.000015
1969,0.000000,0.000019
1970,0.000000,0.000020
1971,0.000000,0.000020
1972,0.000002,0.000019
1973,0.000000,0.000017
1974,0.000000,0.000016
1975,0.000000,0.000015
1976,0.000003,0.000016
1977,0.000002,0.000016
1978,0.000002,0.000019
1979,0.000002,0.000017
1980,0.000003,0.000015
1981,0.000003,0.000014
1982,0.000000,0.000016
1983,0.000002,0.000017
1984,0.000002,0.000012
1985,0.000001,0.000015
1986,0.000000,0.000013
1987,0.000001,0.000012
1988,0.000002,0.000015
1989,0.000002,0.000011
1990,0.000003,0.000017
1991,0.000002,0.000013
1992,0.000002,0.000011
1993,0.000003,0.000013
1994,0.000002,0.000014
1995,0.000002,0.000011
1996,0.000003,0.000013
1997,0.000002,0.000013
1998,0.000002,0.000014
1999,0.000002,0.000013
2000,0.000003,0.000013
2001,0.000002,0.000015
2002,0.000002,0.000014
2003,0.000002,0.000014
2004,0.000004,0.000016
2005,0.000002,0.000018
2006,0.000003,0.000019
2007,0.000004,0.000029
2008,0.000004,0.000028
2009,0.000007,0.000032
2010,0.000005,0.000039
2011,0.000010,0.000040
2012,0.000009,0.000053
2013,0.000016,0.000064
2014,0.000069,0.000132
2015,0.000102,0.000175
2016,0.000130,0.000181
2017,0.000117,0.000161
2018,0.000096,0.000174
2019,0.000101,0.000188
2020,0.000106,0.000222
