year,Renee (F),Renee (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000024,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000015,0.000000
1895,0.000020,0.000000
1896,0.000020,0.000000
1897,0.000014,0.000000
1898,0.000013,0.000000
1899,0.000000,0.000000
1900,0.000016,0.000000
1901,0.000023,0.000000
1902,0.000026,0.000000
1903,0.000034,0.000000
1904,0.000032,0.000000
1905,0.000040,0.000000
1906,0.000033,0.000000
1907,0.000028,0.000000
1908,0.000059,0.000000
1909,0.000072,0.000000
1910,0.000059,0.000000
1911,0.000053,0.000000
1912,0.000049,0.000000
1913,0.000051,0.000000
1914,0.000052,0.000000
1915,0.000046,0.000000
1916,0.000041,0.000000
1917,0.000047,0.000000
1918,0.000034,0.000000
1919,0.000041,0.000000
1920,0.000046,0.000000
1921,0.000048,0.000000
1922,0.000050,0.000000
1923,0.000060,0.000000
1924,0.000076,0.000000
1925,0.000092,0.000000
1926,0.000108,0.000000
1927,0.000154,0.000000
1928,0.000192,0.000000
1929,0.000177,0.000000
1930,0.000163,0.000000
1931,0.000156,0.000000
1932,0.000149,0.000000
1933,0.000158,0.000000
1934,0.000150,0.000000
1935,0.000151,0.000003
1936,0.000145,0.000000
1937,0.000140,0.000000
1938,0.000131,0.000003
1939,0.000129,0.000000
1940,0.000134,0.000002
1941,0.000137,0.000003
1942,0.000161,0.000003
1943,0.000197,0.000000
1944,0.000222,0.000002
1945,0.000229,0.000003
1946,0.000275,0.000002
1947,0.000278,0.000001
1948,0.000395,0.000002
1949,0.000497,0.000004
1950,0.000483,0.000003
1951,0.000508,0.000003
1952,0.000574,0.000004
1953,0.000699,0.000006
1954,0.000749,0.000003
1955,0.000919,0.000006
1956,0.001051,0.000004
1957,0.000993,0.000004
1958,0.001088,0.000006
1959,0.001165,0.000006
1960,0.001253,0.000006
1961,0.001396,0.000005
1962,0.001491,0.000007
1963,0.001459,0.000008
1964,0.001546,0.000008
1965,0.001516,0.000009
1966,0.001541,0.000010
1967,0.001638,0.000011
1968,0.001585,0.000010
1969,0.001511,0.000011
1970,0.001489,0.000012
1971,0.001408,0.000013
1972,0.001301,0.000012
1973,0.001275,0.000014
1974,0.001161,0.000014
1975,0.001128,0.000012
1976,0.001094,0.000011
1977,0.001026,0.000012
1978,0.000935,0.000010
1979,0.000895,0.000009
1980,0.000826,0.000009
1981,0.000866,0.000005
1982,0.000825,0.000010
1983,0.000823,0.000008
1984,0.000740,0.000007
1985,0.000684,0.000006
1986,0.000623,0.000010
1987,0.000568,0.000008
1988,0.000512,0.000008
1989,0.000432,0.000010
1990,0.000398,0.000007
1991,0.000362,0.000006
1992,0.000349,0.000005
1993,0.000301,0.000004
1994,0.000283,0.000007
1995,0.000269,0.000004
1996,0.000262,0.000004
1997,0.000261,0.000006
1998,0.000237,0.000005
1999,0.000222,0.000005
2000,0.000218,0.000008
2001,0.000202,0.000005
2002,0.000186,0.000004
2003,0.000175,0.000003
2004,0.000162,0.000004
2005,0.000138,0.000003
2006,0.000128,0.000000
2007,0.000102,0.000003
2008,0.000103,0.000004
2009,0.000096,0.000000
2010,0.000084,0.000001
2011,0.000087,0.000002
2012,0.000081,0.000000
