year,Ricardo (F),Ricardo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000024
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000018
1903,0.000000,0.000021
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000021
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000015
1911,0.000000,0.000026
1912,0.000000,0.000025
1913,0.000000,0.000015
1914,0.000000,0.000018
1915,0.000000,0.000020
1916,0.000000,0.000021
1917,0.000000,0.000023
1918,0.000000,0.000024
1919,0.000000,0.000029
1920,0.000000,0.000033
1921,0.000000,0.000023
1922,0.000000,0.000037
1923,0.000000,0.000034
1924,0.000000,0.000048
1925,0.000000,0.000060
1926,0.000000,0.000043
1927,0.000000,0.000066
1928,0.000000,0.000074
1929,0.000000,0.000093
1930,0.000000,0.000098
1931,0.000000,0.000084
1932,0.000000,0.000075
1933,0.000000,0.000084
1934,0.000000,0.000092
1935,0.000000,0.000078
1936,0.000000,0.000076
1937,0.000000,0.000092
1938,0.000000,0.000084
1939,0.000000,0.000081
1940,0.000000,0.000091
1941,0.000000,0.000089
1942,0.000002,0.000075
1943,0.000000,0.000075
1944,0.000000,0.000094
1945,0.000002,0.000106
1946,0.000000,0.000110
1947,0.000000,0.000105
1948,0.000001,0.000130
1949,0.000000,0.000141
1950,0.000000,0.000174
1951,0.000002,0.000183
1952,0.000000,0.000226
1953,0.000001,0.000273
1954,0.000003,0.000274
1955,0.000002,0.000275
1956,0.000002,0.000266
1957,0.000002,0.000282
1958,0.000001,0.000313
1959,0.000002,0.000323
1960,0.000002,0.000316
1961,0.000002,0.000300
1962,0.000003,0.000312
1963,0.000002,0.000334
1964,0.000003,0.000339
1965,0.000003,0.000353
1966,0.000003,0.000344
1967,0.000003,0.000382
1968,0.000003,0.000399
1969,0.000004,0.000452
1970,0.000004,0.000458
1971,0.000005,0.000485
1972,0.000003,0.000541
1973,0.000006,0.000540
1974,0.000006,0.000595
1975,0.000005,0.000572
1976,0.000004,0.000588
1977,0.000007,0.000543
1978,0.000007,0.000593
1979,0.000007,0.000624
1980,0.000005,0.000674
1981,0.000005,0.000683
1982,0.000006,0.000653
1983,0.000005,0.000629
1984,0.000004,0.000632
1985,0.000005,0.000599
1986,0.000008,0.000625
1987,0.000005,0.000589
1988,0.000006,0.000677
1989,0.000004,0.000711
1990,0.000004,0.000709
1991,0.000003,0.000731
1992,0.000005,0.000787
1993,0.000005,0.000781
1994,0.000005,0.000800
1995,0.000002,0.000784
1996,0.000004,0.000791
1997,0.000002,0.000807
1998,0.000003,0.000828
1999,0.000004,0.000809
2000,0.000001,0.000772
2001,0.000002,0.000762
2002,0.000002,0.000725
2003,0.000002,0.000727
2004,0.000002,0.000728
2005,0.000002,0.000683
2006,0.000000,0.000684
2007,0.000000,0.000696
2008,0.000000,0.000701
2009,0.000000,0.000603
2010,0.000000,0.000510
2011,0.000000,0.000446
2012,0.000000,0.000430
